???????,???????,Name,???????????,
1001,??????,Phranakhon,Bangkok,
1002,?????,Dusit,Bangkok,
1004,??????,Bangrak,Bangkok,
1005,??????,Bang khen,Bangkok,
1006,???????,Bangkapi,Bangkok,
1007,???????,Patumwan,Bangkok,
1008,?????????????????,Pom prap,Bangkok,
1009,???????,Prakanong,Bangkok,
1010,???????,Minburi,Bangkok,
1011,?????????,Lat Krabang,Bangkok,
1012,???????,Yannawa,Bangkok,
1013,???????????,Samphanthawongse,Bangkok,
1014,?????,Payathai,Bangkok,
1015,??????,Thon buri,Bangkok,
1016,??????????,Bangkok yai,Bangkok,
1017,????????,Huai khwang,Bangkok,
1018,???????,Klongsan,Bangkok,
1019,????????,Taling chan,Bangkok,
1020,??????????,Bangkok noi,Bangkok,
1021,???????????,Bangkuntien,Bangkok,
1022,?????????,Pasricharoen,Bangkok,
1023,???????,Nongkhaem,Bangkok,
1024,???????????,Radburana,Bangkok,
1025,???????,Bangplad,Bangkok,
1026,??????,Dindaeng,Bangkok,
1027,???????,Bung kum,Bangkok,
1028,????,Sathorn,Bangkok,
1029,???????,Bangsue,Bangkok,
1030,???????,Jatujak,Bangkok,
1031,?????????,Bangkholam,Bangkok,
1032,??????,Prawet,Bangkok,
1033,???????,Klongtoey,Bangkok,
1034,???????,Suanluang,Bangkok,
1035,??????,Chomthong,Bangkok,
1036,????????,Don muang,Bangkok,
1037,???????,Ratchathervi,Bangkok,
1038,????????,Lat Phrao,Bangkok,
1039,?????,Watthana,Bangkok,
1040,?????,Bangkhae,Bangkok,
1041,???????,Laksi,Bangkok,
1042,??????,Saimai,Bangkok,
1043,????????,Kannayao,Bangkok,
1044,????????,Saphansung,Bangkok,
1045,??????????,Wang thonglang,Bangkok,
1046,?????????,Klongsamwa,Bangkok,
1047,?????,Bangna,Bangkok,
1048,????????,Thawiwatthana,Bangkok,
1049,???????,Thung khru,Bangkok,
1050,??????,Bangbon,Bangkok,
1101,????????????????,Muang samutprakan,samutprakan,
1102,??????,Bang bo,samutprakan,
1103,???????,Nong chokn,Bangkok,
1103,??????,Bang phle,samutprakan,
1104,?????????,Phra pradaeng,samutprakan,
1105,??????????????,Phra samutjede,samutprakan,
1106,????????,Bang sao thong,samutprakan,
1201,????????????,Muang nonthaburi,nonthaburi,
1202,???????,Bang kruai,nonthaburi,
1203,???????,Bang yai,nonthaburi,
1204,?????????,Bang bua thong,nonthaburi,
1205,???????,Sai noi,nonthaburi,
1206,????????,Pakkred,nonthaburi,
1301,?????????????,Mung pathum thani,pathum thani,
1302,????????,Klongluang,pathum thani,
1303,???????,Thanyaburi,pathum thani,
1304,????????,Nong sua,pathum thani,
1305,???????????,Lat lum kaeo,pathum thani,
1306,???????,Lam luk ka,pathum thani,
1307,??????,Sam khok,pathum thani,
1401,???????????????,Phranakhon si ayutthaya,Ayutthaya,
1402,???????,Tha rua,Ayutthaya,
1403,???????,Nakhon luang,Ayutthaya,
1404,??????,Bang sai,Ayutthaya,
1405,??????,Bang ban,Ayutthaya,
1406,????????,Bang pa-in,Ayutthaya,
1407,????????,Bang pahan,Ayutthaya,
1408,??????,Phak hai,Ayutthaya,
1409,????,Phachi,Ayutthaya,
1410,??????????,Lat bua luang,Ayutthaya,
1411,???????,Wang noi,Ayutthaya,
1412,????,Sena,Ayutthaya,
1413,???????,Bang sai,Ayutthaya,
1414,?????,Uthai,Ayutthaya,
1415,??????,Maharat,Ayutthaya,
1416,????????,Ban phraek,Ayutthaya,
1501,????????????,Muang angthong,angthong,
1502,????,Chai yo,angthong,
1503,??????,Pamok,angthong,
1504,????????,Po thong,angthong,
1505,??????,Sawaengha,angthong,
1506,???????????,Wiset chai chan,angthong,
1507,??????,Sam ko,angthong,
1601,???????????,Muang lopburi,lopburi,
1602,?????????,Phatthana nikhom,lopburi,
1603,????????,Khok samrong,lopburi,
1604,????????,Chai badan,lopburi,
1605,???????,Tha wong,lopburi,
1606,????????,Ban mi,lopburi,
1607,???????,Tha luang,lopburi,
1608,????????,Sa Bot,lopburi,
1609,????????,Khok charoen,lopburi,
1610,??????,Lam Sonthi,lopburi,
1611,????????,Nong muang kai,lopburi,
1701,??????????????,Muang singburi,singburi,
1702,????????????,Khai bang rachan,singburi,
1702,????????,Bangrachan,singburi,
1704,????????,Phrom buri,singburi,
1705,???????,Tha chang,singburi,
1706,??????????,In buri,singburi,
1801,???????????,Muang chai nat,Chai nat,
1802,???????,Manorom,Chai nat,
1803,????????,Wat singh,Chai nat,
1804,??????,Sappraya,Chai nat,
1805,????????,Sankhaburi,Chai nat,
1806,?????,Hankha,Chai nat,
1807,?????????,Nongmanong,Chai nat,
1808,???????,Noen kham,Chai nat,
1901,????????????,Muang saraburi,saraburi,
1902,???????,Kaeng khoy,saraburi,
1903,??????,Nong khae,saraburi,
1904,????????,Wihan daeng,saraburi,
1905,???????,Nong saeng,saraburi,
1906,???????,Ban mo,saraburi,
1907,??????,Don phut,saraburi,
1908,???????,Nong don,saraburi,
1909,??????????,Phra phutthabat,saraburi,
1910,??????,Sao Hai,saraburi,
1911,????????,Muak lek,saraburi,
1912,???????,Wang muang,saraburi,
1913,???????????????,Chalermprakiat,saraburi,
2001,???????????,Muang chon buri,Chon buri,
2002,???????,Ban bung,Chon buri,
2003,????????,Nong Yai,Chon buri,
2004,????????,Bang lamung,Chon buri,
2005,??????,Phan thong,Chon buri,
2006,????????,Phanat nikhom,Chon buri,
2007,???????,Siracha,Chon buri,
2008,?????????,Ko sichang,Chon buri,
2009,??????,Sattahip,Chon buri,
2010,??????,Bo thong,Chon buri,
2011,??????????,Ko chan,Chon buri,
2101,??????????,Muang rayong,rayong,
2102,???????,Ban chang,rayong,
2103,????,Klaeng,rayong,
2104,?????????,Wang chan,rayong,
2105,????????,Ban khai,rayong,
2106,???????,Pluak daeng,rayong,
2107,????????,khao chamao,rayong,
2108,?????????,Nikhom phathana,rayong,
2201,?????????????,Muang chanthaburi,Chanthaburi,
2202,????,Khlung,Chanthaburi,
2203,???????,Tha mai,Chanthaburi,
2204,???????????,Pong nam ron,Chanthaburi,
2205,?????,Makham,Chanthaburi,
2206,?????????,Laem sing,Chanthaburi,
2207,??????,Soi dao,Chanthaburi,
2208,??????????,Kaeng hang maeo,Chanthaburi,
2209,????????,Na yai am,Chanthaburi,
2210,??????????,Khao Khitchakut,Chanthaburi,
2301,?????????,Muang trat,Trat,
2302,????????,Khlong yai,Trat,
2303,???????,Khao saming,Trat,
2304,??????,Bo rai,Trat,
2305,???????,Laem ngob,Trat,
2306,???????,Kut island,Trat,
2307,????????,Chang island,Trat,
2401,???????????????,Muang Chachoengsao,Chachoengsao,
2402,???????,Bang khla,Chachoengsao,
2403,?????????????,Bang nam prieo,Chachoengsao,
2404,???????,Bangprakong,Chachoengsao,
2405,?????????,Ban pho,Chachoengsao,
2406,?????????,Phanom sarakham,Chachoengsao,
2407,????????,Ratchasan,Chachoengsao,
2408,??????????,Sanam chai khet,Chachoengsao,
2409,???????,Piaeng yao,Chachoengsao,
2410,??????????,Tha takep,Chachoengsao,
2411,??????????,Khlong Khuean,Chachoengsao,
2501,???????????????,Muang prachinburi,prachinburi,
2502,???????????,Kabin buri,prachinburi,
2503,????,Nadi,prachinburi,
2506,?????????,Ban Sang,prachinburi,
2507,??????????,Prachantakham,prachinburi,
2508,??????????,Si maha phot,prachinburi,
2509,????????,Sri maho sot,prachinburi,
2601,????????????,Muang nakhon nayok,nakhon nayok,
2602,??????,Pak phli,nakhon nayok,
2603,??????,Ban na,nakhon nayok,
2604,????????,Ongkharak,nakhon nayok,
2701,????????????,Muang sra kaeo,sra kaeo,
2702,???????,Khlong hat,sra kaeo,
2703,???????,Ta phraya,sra kaeo,
2704,??????????,Wang namyen,sra kaeo,
2705,????????,Wattana nakhon,sra kaeo,
2706,??????????,Aranyaprathat,sra kaeo,
2707,?????????,Khao Chakan,sra kaeo,
2708,??????,Khok sung,sra kaeo,
2709,??????????,Wang somboon,sra kaeo,
3001,???????????????,Muang nakhon ratchasima,nakhon ratchasima,
3002,??????,Khon buri,nakhon ratchasima,
3003,???????,Soeng sang,nakhon ratchasima,
3004,??,Khong,nakhon ratchasima,
3005,???????????,Ban luarm,nakhon ratchasima,
3006,??????,Chakarat,nakhon ratchasima,
3007,??????,Chok chai,nakhon ratchasima,
3008,?????????,Dan khunthot,nakhon ratchasima,
3009,??????,Non thai,nakhon ratchasima,
3010,??????,Non sung,nakhon ratchasima,
3011,??????????,Kham sakae saeng,nakhon ratchasima,
3012,???????,Bua yai,nakhon ratchasima,
3013,??????,Pra thai,nakhon ratchasima,
3014,????????,Pak thong chai,nakhon ratchasima,
3015,?????,Phimai,nakhon ratchasima,
3016,????????,Huai thalaeng,nakhon ratchasima,
3017,??????,Chum phuang,nakhon ratchasima,
3018,???????,Sung noe,nakhon ratchasima,
3019,?????????,Kham thaie so,nakhon ratchasima,
3020,??????,Sikhui,nakhon ratchasima,
3021,???????,Pak chong,nakhon ratchasima,
3022,??????????,Nong bunnak,nakhon ratchasima,
3023,???????????,Kaeng snam nang,nakhon ratchasima,
3024,??????,Non daeng,nakhon ratchasima,
3025,???????????,Wong namkhieo,nakhon ratchasima,
3026,?????????,Tepharak,nakhon ratchasima,
3027,????????,Muang yang,nakhon ratchasima,
3028,????????,Phra thorngkham,nakhon ratchasima,
3029,??????????,Lum thamen chai,nakhon ratchasima,
3030,??????,Bua lai,nakhon ratchasima,
3031,????,Sida,nakhon ratchasima,
3032,???????????????,Chaloem phrakiat,nakhon ratchasima,
3101,??????????????,Muang buri ram,buri ram,
3102,???????,Khu Muang,buri ram,
3103,??????,Krasang,buri ram,
3104,??????,Nang rong,buri ram,
3105,???????,Nong ki,buri ram,
3106,?????????,Lahan sai,buri ram,
3107,?????????,Phakhon chai,buri ram,
3108,????????,Ban kruat,buri ram,
3109,???????,Phutthaisong,buri ram,
3110,?????????,Lam plai mat,buri ram,
3111,????,Satuk,buri ram,
3112,????,Pa kham,buri ram,
3113,???????,Na pho,buri ram,
3114,????????,Nong hong,buri ram,
3115,??????????,Phlapphachai,buri ram,
3116,???????,Huai rat,buri ram,
3117,?????????,Non suwan,buri ram,
3118,????,Cham ni,buri ram,
3119,???????????????,Ban mai chaiyapot,buri ram,
3120,?????????,Non din daeng,buri ram,
3121,????????,Ban dan,buri ram,
3122,?????,Can dong,buri ram,
3123,???????????????,Chaloem phrakiat,buri ram,
3201,?????????????,Muang surin,surin,
3202,?????????,Chumphon buri,surin,
3203,??????,Tha tum,surin,
3204,??????,Chom phra,surin,
3205,??????,Pra sat,surin,
3206,???????,Kap choeng,surin,
3207,????????,Rattana buri,surin,
3208,???,sanom,surin,
3209,????????,Sikhoraphum,surin,
3210,?????,Sang kha,surin,
3211,?????,Lam duon,surin,
3212,????????,Samrong thap,surin,
3213,??????,Buachet,surin,
3214,????????,Phanom dong rak,surin,
3215,????????,Sri narong,surin,
3216,?????????????,Khwao Sinrin,surin,
3217,??????????,Nhon narai,surin,
3301,?????????????,Muang srisaket,srisaket,
3302,??????????,Yang chumnoi,srisaket,
3303,??????????,Kanthararom,srisaket,
3304,??????????,Kantharalak,srisaket,
3305,???????,Khokhon,srisaket,
3306,??????,Phai bung,srisaket,
3307,?????????,Prang ku,srisaket,
3308,??????,Khun han,srisaket,
3309,???????,Rasi sala,srisaket,
3310,????????????,Uthum phon phisai,srisaket,
3311,????????,Bang bun,srisaket,
3312,??????????,Huai thap than,srisaket,
3313,??????,Non khan,srisaket,
3314,????????,Sirattana,srisaket,
3315,??????????,Nam kliang,srisaket,
3316,??????,Wang hin,srisaket,
3317,???????,Phu sing,srisaket,
3318,???????????,Muang chan,srisaket,
3319,??????????,Benjalak,srisaket,
3320,?????,Phayu,srisaket,
3321,??????????????,Pho si suwan,srisaket,
3322,???????,Silalat,srisaket,
3401,????????????????,Muang uboratchathani,uboratchathani,
3402,????????????,Si muang mai,uboratchathani,
3403,????????,Khong chiam,uboratchathani,
3404,????????,Khuang nai,uboratchathani,
3405,??????,Khemarat,uboratchathani,
3407,???????,Deti udom,uboratchathani,
3408,????????,No chaluai,uboratchathani,
3409,??????,Nam yun,uboratchathani,
3410,???????,Bun tharik,uboratchathani,
3411,???????????,Trakan phut phon,uboratchathani,
3412,???????????,Kut khao pun,uboratchathani,
3414,??????????,muang samsip,uboratchathani,
3415,??????????,Warin shamrap,uboratchathani,
3419,?????????????,Phibun mangsahan,uboratchathani,
3420,??????,Tan sum,uboratchathani,
3421,????????,Pho sai,uboratchathani,
3422,?????,sam rong,uboratchathani,
3424,????????,Don mot daeng,uboratchathani,
3425,???????,Sirinthon,uboratchathani,
3426,???????????,Thung si udom,uboratchathani,
3429,??????,Na Yia,uboratchathani,
3430,?????,Natan,uboratchathani,
3431,?????????????,Lao Suea Kok,uboratchathani,
3432,?????????????,Swang weerawong,uboratchathani,
3433,???????,Nam Khun,uboratchathani,
3501,??????????,Muang yasothon,yasothon,
3502,???????,Sai mun,yasothon,
3503,??????,Kut chum,yasothon,
3504,????????????,Kham khuan kaeo,yasothon,
3505,???????,Pa tiu,yasothon,
3506,?????????,Maha chana chai,yasothon,
3507,??????,Kho wang,yasothon,
3508,????????,Loeng nok tha,yasothon,
3509,????????,Thai charoen,yasothon,
3601,????????????,Muang chai yaphum,Chai yaphum,
3602,?????????,Ban klwao,Chai yaphum,
3603,?????????,Khon sawan,Chai yaphum,
3604,????????????,Kaset sombun,Chai yaphum,
3605,??????????,Nong bua daeng,Chai yaphum,
3606,???????,Chatturat,Chai yaphum,
3607,????????????,Bamnet narong,Chai yaphum,
3608,????????????,Nong bua rawe,Chai yaphum,
3609,???????,Thep sathit,Chai yaphum,
3610,???????,Phu khieo,Chai yaphum,
3611,????????,Ban thaen,Chai yaphum,
3612,????????,Kaeng khro,Chai yaphum,
3613,??????,Khon san,Chai yaphum,
3614,??????????,Phakdi chum phon,Chai yaphum,
3615,????????,Noen sanga,Chai yaphum,
3616,???????,Sap yai,Chai yaphum,
3701,???????????????,Muang amnatcharoen,amnatcharoen,
3702,???????,Chanu man,amnatcharoen,
3703,???????????,Pathum rachawongsa,amnatcharoen,
3704,???,Phana,amnatcharoen,
3705,??????????,Senangkhanikhom,amnatcharoen,
3706,????????,Hua taphan,amnatcharoen,
3707,????????,Lu amnat,amnatcharoen,
3801,??????,Bung khla,???????,
3802,???????,Porncharoen,???????,
3803,????????,So phisai,???????,
3804,????,Seka,???????,
3805,??????,Pak khat,???????,
3806,??????????,Bung khom long,???????,
3807,???????,Si wilai,???????,
3808,????????,Bung khla,???????,
3901,????????????????,Muang nongbualamphu,nongbualamphu,
3902,??????,Na klang,nongbualamphu,
3903,??????,Non sang,nongbualamphu,
3904,???????????,Si bun ruang,nongbualamphu,
3905,??????????,Suwannakhuha,nongbualamphu,
3906,?????,Na wang,nongbualamphu,
4001,????????????,Muang khonkean,Khon kean,
4002,???????,Ban fang,Khon kean,
4003,??????,Phra yun,Khon kean,
4004,????????,Nong rua,Khon kean,
4005,?????,Chum phae,Khon kean,
4006,??????,Si chomphu,Khon kean,
4007,??????,Nam phong,Khon kean,
4008,?????????,Ubol rat,Khon kean,
4009,??????,kranuan,Khon kean,
4010,???????,Ban phai,Khon kean,
4011,?????????,Puai noi,Khon kean,
4012,??,Phon,Khon kean,
4013,???????,Wang yai,Khon kean,
4014,???????,Wang noi,Khon kean,
4015,???????????,Nong song hong,Khon kean,
4016,???????,Phu wiang,Khon kean,
4017,?????????,Mancha khiri,Khon kean,
4018,????,Chonnabot,Khon kean,
4019,??????????,Khao suan kwang,Khon kean,
4020,????????,Phu pha man,Khon kean,
4021,?????,Some sung,Khon kean,
4022,???????????,Khok pho chai,Khon kean,
4023,????????,Nong na kham,Khon kean,
4024,???????,Ban haak,Khon kean,
4025,???????,Non sila,Khon kean,
4029,?????????,Wiang Kao,,
4101,?????????????,Muang udonthani,udonthani,
4102,??????,kut chap,udonthani,
4103,?????????,Nong wua so,udonthani,
4104,????????,Kumphawapi,udonthani,
4105,????????,Non sa-at,udonthani,
4106,???????,Nong han,udonthani,
4107,??????,Thung fon,udonthani,
4108,??????,Chai wan,udonthani,
4109,???????,Si that,udonthani,
4110,?????????,Wang sam mo,udonthani,
4111,???????,Bang dung,udonthani,
4117,???????,Ban phu,udonthani,
4118,??????,Nam som,udonthani,
4119,????,Phen,udonthani,
4120,????????,Sang khom,udonthani,
4121,???????,Nong saeng,udonthani,
4122,?????,Na yung,udonthani,
4123,????????????,Pibunrak,udonthani,
4124,???????,Ku kaeo,udonthani,
4125,????????????????,Prachaksinlapakhom,udonthani,
4201,????????,Muang loei,loei,
4202,??????,Na duang,loei,
4203,????????,Chiang khan,loei,
4204,?????,Pak chom,loei,
4205,????????,Dan sai,loei,
4206,??????,Na haeo,loei,
4207,??????,Phu rua,loei,
4208,??????,Tha li,loei,
4209,????????,Wang saphung,loei,
4210,????????,Phu kadung,loei,
4211,??????,Phu luang,loei,
4212,?????,Pha Khao,loei,
4213,???????,Erawan,loei,
4214,???????,Nong hin,loei,
4301,????????????,Muang nongkhai,???????,
4302,??????,Tha bo,???????,
4305,????????,Phon phisai,???????,
4307,????????????,Si chiang mai,???????,
4308,?????,Sang kom,???????,
4314,???????,Sakhrai,???????,
4315,???????,Fao Rai,???????,
4316,????????,Ratana wapi,???????,
4317,????????,Pho tak,???????,
4401,??????????????,Muang mahasarakham,mahasarakham,
4402,????,Kae dam,mahasarakham,
4403,??????????,Kosum phisai,mahasarakham,
4404,??????????,Kantharawichai,mahasarakham,
4405,????????,Chiang yun,mahasarakham,
4406,?????,Borabu,mahasarakham,
4407,???????,Na chuak,mahasarakham,
4408,??????????????,Phayakhaphum phisai,mahasarakham,
4409,????????,Wapi pathum,mahasarakham,
4410,?????,Na dun,mahasarakham,
4411,??????????,Yang si surat,mahasarakham,
4412,??????,Kut rang,mahasarakham,
4413,??????,Chuenchom,mahasarakham,
4501,?????????????,Muang roi et,roi et,
4502,??????????,Kaset visai,roi et,
4503,?????????,Pathum rat,roi et,
4504,???????????????,Chaturaphak phiman,roi et,
4505,????????,Thawatshaburi,roi et,
4506,??????,Phanom phrai,roi et,
4507,??????,Phon thong,roi et,
4508,????????,IPho chai,roi et,
4509,???????,Nong phok,roi et,
4510,???????,Sela phum,roi et,
4511,??????????,Suwannaphum,roi et,
4512,?????????,Muangsuang,roi et,
4513,???????,Phon sai,roi et,
4514,?????????,At samat,roi et,
4515,??????,Moeiwadi,roi et,
4516,?????????,Srisomdet,roi et,
